,id,popularity,release_date,title,vote_average,vote_count
5795,20156,1.6002,1994-09-29,Exotica,6.601,382
5796,11198,2.1333,1993-01-14,City Hunter,6.6,446
5797,5121,1.1641,1974-03-31,The Sugarland Express,6.601,444
5798,2105,10.6922,1999-07-09,American Pie,6.601,8167
5799,944,6.3155,1998-07-10,Lethal Weapon 4,6.601,2866
5800,604685,7.3012,2025-01-08,Den of Thieves 2: Pantera,6.599,746
5801,6575,5.4771,2007-12-21,Walk Hard: The Dewey Cox Story,6.6,735
5802,5780,15.8126,1966-07-14,Torn Curtain,6.6,648
5803,1028196,6.5999,2024-12-13,Nickel Boys,6.6,324
5804,492452,2.2017,2018-12-05,Ben Is Back,6.6,953
5805,363992,2.0866,2017-05-11,The Wizard of Lies,6.599,634
5806,8066,2.4532,2005-09-24,Stay,6.599,1472
5807,311291,2.9917,2015-05-29,45 Years,6.598,782
5808,119675,1.3641,2013-05-26,Behind the Candelabra,6.598,820
5809,10875,1.2531,1989-10-13,The Fabulous Baker Boys,6.598,357
5810,4413,2.1674,2007-09-12,The Brave One,6.595,1041
5811,1059128,19.3869,2024-11-27,Queer,6.6,485
5812,17898,2.0901,1985-10-10,Silver Bullet,6.597,668
5813,10803,2.3157,1976-06-23,Logan's Run,6.6,1020
5814,10687,1.0495,2000-10-06,Tigerland,6.597,598
5815,1593,8.8085,2006-12-20,Night at the Museum,6.597,10813
5816,744653,5.8831,2025-08-22,The Thursday Murder Club,6.596,917
5817,423204,6.5141,2019-08-21,Angel Has Fallen,6.596,3808
5818,15393,1.3229,1971-10-01,Play Misty for Me,6.596,547
5819,11899,0.991,1984-06-27,The Muppets Take Manhattan,6.596,410
5820,123,2.4117,1978-11-15,The Lord of the Rings,6.596,1025
5821,536176,0.7647,2019-01-19,Brexit: The Uncivil War,6.595,347
5822,341012,1.6181,2016-06-03,Popstar: Never Stop Never Stopping,6.595,1343
5823,8446,1.435,1976-07-22,Bugsy Malone,6.595,309
5824,3525,2.5773,1988-12-20,Working Girl,6.595,1035
5825,2978,16.9298,1989-06-16,Ghostbusters II,6.595,4760
5826,2779,0.9511,2001-08-10,The Curse of the Jade Scorpion,6.595,819
5827,166,21.8144,1980-12-17,The Party,6.595,1200
